City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
102,Abu Kamal,SY,2021-06-02 15:31:43,34.4506,40.9171,88.47,19,0,8.86
103,Fountain,US,2021-06-02 15:31:44,38.6822,-104.7008,70.59,43,75,2.71
104,Bilibino,RU,2021-06-02 15:31:44,68.0546,166.4372,51.12,59,25,5.23
105,Hasaki,JP,2021-06-02 15:31:44,35.7333,140.8333,66.49,79,100,11.68
106,Castro,BR,2021-06-02 15:31:45,-24.7911,-50.0119,70.9,60,0,9.19
107,Barrow,US,2021-06-02 15:31:45,71.2906,-156.7887,28.42,74,90,14.97
108,Saint-Philippe,RE,2021-06-02 15:31:45,-21.3585,55.7679,76.59,82,88,15.3
109,Saldanha,ZA,2021-06-02 15:31:46,-33.0117,17.9442,66.25,84,74,16.84
110,Yerbogachen,RU,2021-06-02 15:31:46,61.2767,108.0108,59.27,51,1,2.37
111,Ust-Omchug,RU,2021-06-02 15:31:46,61.15,149.6333,35.19,90,18,4.94
112,Viedma,AR,2021-06-02 15:31:47,-40.8135,-62.9967,52.79,51,8,10.25
113,Samarai,PG,2021-06-02 15:31:47,-10.6167,150.6667,78.67,80,100,11.63
114,Hobart,AU,2021-06-02 15:30:01,-42.8794,147.3294,51.06,79,40,4.0
115,Korhogo,CI,2021-06-02 15:31:47,9.45,-5.6333,97.48,29,98,6.06
116,Vysha,RU,2021-06-02 15:31:48,53.8477,42.3777,58.57,59,72,10.76
117,Alugan,PH,2021-06-02 15:31:48,12.2188,125.4808,79.0,87,73,4.94
118,Tyrma,RU,2021-06-02 15:31:48,50.0833,132.1667,46.6,94,90,4.23
119,Saint-Augustin,CA,2021-06-02 15:31:49,51.226,-58.6502,52.81,82,85,12.91
120,Tuktoyaktuk,CA,2021-06-02 15:31:49,69.4541,-133.0374,30.2,80,75,12.66
121,Malakal,SS,2021-06-02 15:31:49,9.5334,31.6605,92.57,36,100,7.27
122,La Ronge,CA,2021-06-02 15:31:50,55.1001,-105.2842,73.62,46,75,3.44
123,Bull Savanna,JM,2021-06-02 15:31:50,17.8868,-77.5902,83.79,61,20,14.63
124,Melo,UY,2021-06-02 15:31:50,-32.3667,-54.1833,65.97,57,16,13.58
125,Lata,PT,2021-06-02 15:31:51,40.1629,-8.3327,63.36,77,98,9.75
126,Entre Rios,BR,2021-06-02 15:31:05,-11.9419,-38.0844,77.54,86,61,6.53
127,Cayenne,GF,2021-06-02 15:31:51,4.9333,-52.3333,84.24,79,75,5.01
128,Tsumeb,NA,2021-06-02 15:31:51,-19.2333,17.7167,71.15,22,53,9.06
129,Walvis Bay,NA,2021-06-02 15:31:52,-22.9575,14.5053,88.75,14,0,16.69
130,Sola,VU,2021-06-02 15:31:52,-13.8833,167.55,77.67,89,90,5.75
131,Gelemso,ET,2021-06-02 15:31:52,8.8167,40.5167,66.16,67,50,11.1
132,Taltal,CL,2021-06-02 15:31:53,-25.4,-70.4833,67.66,65,16,5.73
133,Koslan,RU,2021-06-02 15:31:53,63.4564,48.8989,47.79,83,100,8.93
134,Vaini,TO,2021-06-02 15:31:53,-21.2,-175.2,69.96,83,20,2.3
135,Lannion,FR,2021-06-02 15:31:53,48.75,-3.4167,70.68,73,75,12.66
136,Krabi,TH,2021-06-02 15:30:41,8.0726,98.9105,88.92,94,20,2.3
137,Coquimbo,CL,2021-06-02 15:31:54,-29.9533,-71.3436,55.13,100,24,8.57
138,Norman Wells,CA,2021-06-02 15:30:44,65.282,-126.8329,42.84,87,75,14.97
139,Severo-Kurilsk,RU,2021-06-02 15:31:54,50.6789,156.125,40.03,90,28,7.9
140,Saint George,US,2021-06-02 15:31:55,37.1041,-113.5841,91.35,15,1,3.44
141,Mecca,SA,2021-06-02 15:31:55,21.4267,39.8261,98.29,26,4,7.05
142,Bredasdorp,ZA,2021-06-02 15:31:55,-34.5322,20.0403,60.28,88,100,7.47
143,Airai,TL,2021-06-02 15:31:56,-8.9266,125.4092,58.59,94,92,2.53
144,Tiksi,RU,2021-06-02 15:31:56,71.6872,128.8694,42.85,84,79,7.72
145,Kunashak,RU,2021-06-02 15:31:56,55.7032,61.5498,55.92,96,100,2.8
